Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division II,GLVC,Missouri S&T
Sports,Basketball,NCAA,Division II,GLVC,Quincy
Sports,Basketball,NCAA,Division II,GLVC,Rockhurst
Sports,Basketball,NCAA,Division II,GLVC,Southwest Baptist
Sports,Basketball,NCAA,Division II,GLVC,Truman State
Sports,Basketball,NCAA,Division II,GLVC,UMSL (Missouri–St. Louis)
Sports,Basketball,NCAA,Division II,GLVC,Upper Iowa
Sports,Basketball,NCAA,Division II,GLVC,William Jewell
Sports,Basketball,NCAA,Division II,GNAC,Alaska Anchorage
Sports,Basketball,NCAA,Division II,GNAC,Alaska Fairbanks
Sports,Basketball,NCAA,Division II,GNAC,Central Washington
Sports,Basketball,NCAA,Division II,GNAC,Montana State–Billings
Sports,Basketball,NCAA,Division II,GNAC,Northwest Nazarene
Sports,Basketball,NCAA,Division II,GNAC,Saint Martin's
Sports,Basketball,NCAA,Division II,GNAC,Seattle Pacific
Sports,Basketball,NCAA,Division II,GNAC,Simon Fraser University
Sports,Basketball,NCAA,Division II,GNAC,Western Oregon
Sports,Basketball,NCAA,Division II,GNAC,Western Washington
Sports,Basketball,NCAA,Division II,GSC,Alabama–Huntsville
Sports,Basketball,NCAA,Division II,GSC,Auburn Montgomery
Sports,Basketball,NCAA,Division II,GSC,Christian Brothers
Sports,Basketball,NCAA,Division II,GSC,Delta State
Sports,Basketball,NCAA,Division II,GSC,Lee
Sports,Basketball,NCAA,Division II,GSC,Mississippi College
Sports,Basketball,NCAA,Division II,GSC,Montevallo
Sports,Basketball,NCAA,Division II,GSC,Trevecca Nazarene
Sports,Basketball,NCAA,Division II,GSC,Union
Sports,Basketball,NCAA,Division II,GSC,Valdosta State
Sports,Basketball,NCAA,Division II,GSC,West Alabama
Sports,Basketball,NCAA,Division II,GSC,West Florida
Sports,Basketball,NCAA,Division II,Independent,Salem
Sports,Basketball,NCAA,Division II,LSC,Angelo State
Sports,Basketball,NCAA,Division II,LSC,Cameron
Sports,Basketball,NCAA,Division II,LSC,Dallas Baptist
Sports,Basketball,NCAA,Division II,LSC,Eastern New Mexico
Sports,Basketball,NCAA,Division II,LSC,Lubbock Christian
Sports,Basketball,NCAA,Division II,LSC,Midwestern State
Sports,Basketball,NCAA,Division II,LSC,Oklahoma Christian
Sports,Basketball,NCAA,Division II,LSC,St. Edward's
Sports,Basketball,NCAA,Division II,LSC,St. Mary's (TX)
Sports,Basketball,NCAA,Division II,LSC,Sul Ross State
Sports,Basketball,NCAA,Division II,LSC,Texas A&M International
Sports,Basketball,NCAA,Division II,LSC,Texas A&M–Kingsville
Sports,Basketball,NCAA,Division II,LSC,UT Permian Basin
Sports,Basketball,NCAA,Division II,LSC,West Texas A&M
Sports,Basketball,NCAA,Division II,LSC,Western New Mexico
Sports,Basketball,NCAA,Division II,MEC,Charleston
Sports,Basketball,NCAA,Division II,MEC,Concord
Sports,Basketball,NCAA,Division II,MEC,Davis & Elkins
Sports,Basketball,NCAA,Division II,MEC,Fairmont State
Sports,Basketball,NCAA,Division II,MEC,Frostburg State
Sports,Basketball,NCAA,Division II,MEC,Glenville State
Sports,Basketball,NCAA,Division II,MEC,Point Park
Sports,Basketball,NCAA,Division II,MEC,West Liberty
Sports,Basketball,NCAA,Division II,MEC,West Virginia State
Sports,Basketball,NCAA,Division II,MEC,West Virginia Wesleyan
Sports,Basketball,NCAA,Division II,MEC,Wheeling
Sports,Basketball,NCAA,Division II,MIAA,Arkansas–Fort Smith
Sports,Basketball,NCAA,Division II,MIAA,Central Missouri
Sports,Basketball,NCAA,Division II,MIAA,Central Oklahoma
Sports,Basketball,NCAA,Division II,MIAA,Emporia State
Sports,Basketball,NCAA,Division II,MIAA,Fort Hays State
Sports,Basketball,NCAA,Division II,MIAA,Missouri Southern
Sports,Basketball,NCAA,Division II,MIAA,Missouri Western
Sports,Basketball,NCAA,Division II,MIAA,Nebraska–Kearney
Sports,Basketball,NCAA,Division II,MIAA,Newman
Sports,Basketball,NCAA,Division II,MIAA,Northeastern State
Sports,Basketball,NCAA,Division II,MIAA,Northwest Missouri State
Sports,Basketball,NCAA,Division II,MIAA,Pittsburg State
Sports,Basketball,NCAA,Division II,MIAA,Rogers State
Sports,Basketball,NCAA,Division II,MIAA,Washburn
Sports,Basketball,NCAA,Division II,NE-10,Adelphi
Sports,Basketball,NCAA,Division II,NE-10,American International
Sports,Basketball,NCAA,Division II,NE-10,Assumption
Sports,Basketball,NCAA,Division II,NE-10,Bentley
Sports,Basketball,NCAA,Division II,NE-10,Franklin Pierce
Sports,Basketball,NCAA,Division II,NE-10,New Haven
Sports,Basketball,NCAA,Division II,NE-10,Pace
Sports,Basketball,NCAA,Division II,NE-10,Saint Anselm
Sports,Basketball,NCAA,Division II,NE-10,Saint Michael's
Sports,Basketball,NCAA,Division II,NE-10,Southern Connecticut
Sports,Basketball,NCAA,Division II,NE-10,Southern New Hampshire
Sports,Basketball,NCAA,Division II,NSIC,Augustana
Sports,Basketball,NCAA,Division II,NSIC,Bemidji State
Sports,Basketball,NCAA,Division II,NSIC,Concordia–St. Paul
Sports,Basketball,NCAA,Division II,NSIC,Mary
Sports,Basketball,NCAA,Division II,NSIC,Minnesota–Crookston
Sports,Basketball,NCAA,Division II,NSIC,Minnesota–Duluth
Sports,Basketball,NCAA,Division II,NSIC,Minnesota State
Sports,Basketball,NCAA,Division II,NSIC,Minnesota State–Moorhead
Sports,Basketball,NCAA,Division II,NSIC,Minot State
Sports,Basketball,NCAA,Division II,NSIC,Northern State
Sports,Basketball,NCAA,Division II,NSIC,Sioux Falls
Sports,Basketball,NCAA,Division II,NSIC,Southwest Minnesota State
Sports,Basketball,NCAA,Division II,NSIC,St. Cloud State
Sports,Basketball,NCAA,Division II,NSIC,Wayne State (NE)
Sports,Basketball,NCAA,Division II,NSIC,Winona State
Sports,Basketball,NCAA,Division II,PacWest,Academy of Art
Sports,Basketball,NCAA,Division II,PacWest,Azusa Pacific
Sports,Basketball,NCAA,Division II,PacWest,Biola
Sports,Basketball,NCAA,Division II,PacWest,Chaminade
Sports,Basketball,NCAA,Division II,PacWest,Concordia–Irvine
Sports,Basketball,NCAA,Division II,PacWest,Dominican (CA)
Sports,Basketball,NCAA,Division II,PacWest,Fresno Pacific
Sports,Basketball,NCAA,Division II,PacWest,Hawaiʻi–Hilo
Sports,Basketball,NCAA,Division II,PacWest,Hawaii Pacific
Sports,Basketball,NCAA,Division II,PacWest,Jessup
Sports,Basketball,NCAA,Division II,PacWest,Menlo
Sports,Basketball,NCAA,Division II,PacWest,Point Loma Nazarene
Sports,Basketball,NCAA,Division II,PacWest,Vanguard
Sports,Basketball,NCAA,Division II,PacWest,Westmont
Sports,Basketball,NCAA,Division II,PBC,Augusta
Sports,Basketball,NCAA,Division II,PBC,Clayton State
Sports,Basketball,NCAA,Division II,PBC,Columbus State
Sports,Basketball,NCAA,Division II,PBC,Flagler
Sports,Basketball,NCAA,Division II,PBC,Georgia College
Sports,Basketball,NCAA,Division II,PBC,Georgia Southwestern State
Sports,Basketball,NCAA,Division II,PBC,Lander
Sports,Basketball,NCAA,Division II,PBC,North Georgia
Sports,Basketball,NCAA,Division II,PBC,USC Aiken
Sports,Basketball,NCAA,Division II,PBC,USC Beaufort
Sports,Basketball,NCAA,Division II,PSAC,Bloomsburg
Sports,Basketball,NCAA,Division II,PSAC,California (PA)
Sports,Basketball,NCAA,Division II,PSAC,Clarion
Sports,Basketball,NCAA,Division II,PSAC,East Stroudsburg
Sports,Basketball,NCAA,Division II,PSAC,Edinboro
Sports,Basketball,NCAA,Division II,PSAC,Gannon
Sports,Basketball,NCAA,Division II,PSAC,Indiana (PA)
Sports,Basketball,NCAA,Division II,PSAC,Kutztown
Sports,Basketball,NCAA,Division II,PSAC,Lock Haven
Sports,Basketball,NCAA,Division II,PSAC,Mansfield
Sports,Basketball,NCAA,Division II,PSAC,Millersville
Sports,Basketball,NCAA,Division II,PSAC,Pittsburgh–Johnstown
Sports,Basketball,NCAA,Division II,PSAC,Seton Hill
Sports,Basketball,NCAA,Division II,PSAC,Shepherd
Sports,Basketball,NCAA,Division II,PSAC,Shippensburg
Sports,Basketball,NCAA,Division II,PSAC,Slippery Rock
Sports,Basketball,NCAA,Division II,PSAC,West Chester
Sports,Basketball,NCAA,Division II,RMAC,Adams State
Sports,Basketball,NCAA,Division II,RMAC,Black Hills State
Sports,Basketball,NCAA,Division II,RMAC,Chadron State
Sports,Basketball,NCAA,Division II,RMAC,Colorado Christian
