Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division I,Big Sky,Idaho State University
Sports,Basketball,NCAA,Division I,Big Sky,University of Montana
Sports,Basketball,NCAA,Division I,Big Sky,Montana State University
Sports,Basketball,NCAA,Division I,Big Sky,Northern Arizona University
Sports,Basketball,NCAA,Division I,Big Sky,University of Northern Colorado
Sports,Basketball,NCAA,Division I,Big Sky,Portland State University
Sports,Basketball,NCAA,Division I,Big Sky,"California State University, Sacramento (Sacramento State)"
Sports,Basketball,NCAA,Division I,Big Sky,Weber State University
Sports,Basketball,NCAA,Division I,Big South,Charleston Southern University
Sports,Basketball,NCAA,Division I,Big South,Gardner–Webb University
Sports,Basketball,NCAA,Division I,Big South,High Point University
Sports,Basketball,NCAA,Division I,Big South,Longwood University
Sports,Basketball,NCAA,Division I,Big South,Presbyterian College
Sports,Basketball,NCAA,Division I,Big South,Radford University
Sports,Basketball,NCAA,Division I,Big South,University of North Carolina at Asheville (UNC Asheville)
Sports,Basketball,NCAA,Division I,Big South,University of South Carolina Upstate (USC Upstate)
Sports,Basketball,NCAA,Division I,Big South,Winthrop University
Sports,Basketball,NCAA,Division I,Big Ten,"University of California, Los Angeles (UCLA)"
Sports,Basketball,NCAA,Division I,Big Ten,"University of Illinois Urbana–Champaign (Illinois, U of I)"
Sports,Basketball,NCAA,Division I,Big Ten,"Indiana University Bloomington (Indiana, IU)"
Sports,Basketball,NCAA,Division I,Big Ten,University of Iowa
Sports,Basketball,NCAA,Division I,Big Ten,"University of Maryland, College Park (Maryland)"
Sports,Basketball,NCAA,Division I,Big Ten,University of Michigan
Sports,Basketball,NCAA,Division I,Big Ten,Michigan State University
Sports,Basketball,NCAA,Division I,Big Ten,University of Minnesota
Sports,Basketball,NCAA,Division I,Big Ten,University of Nebraska–Lincoln (Nebraska)
Sports,Basketball,NCAA,Division I,Big Ten,Northwestern University
Sports,Basketball,NCAA,Division I,Big Ten,Ohio State University
Sports,Basketball,NCAA,Division I,Big Ten,University of Oregon
Sports,Basketball,NCAA,Division I,Big Ten,Pennsylvania State University (Penn State)
Sports,Basketball,NCAA,Division I,Big Ten,Purdue University
Sports,Basketball,NCAA,Division I,Big Ten,Rutgers University–New Brunswick (Rutgers)
Sports,Basketball,NCAA,Division I,Big Ten,University of Southern California (USC)
Sports,Basketball,NCAA,Division I,Big Ten,University of Wisconsin–Madison (Wisconsin)
Sports,Basketball,NCAA,Division I,Big Ten,"University of Washington (UW, U-Dub)"
Sports,Basketball,NCAA,Division I,Big West,California Polytechnic State University (Cal Poly)
Sports,Basketball,NCAA,Division I,Big West,"California State University, Bakersfield (CSU Bakersfield or Cal State Bakersfield)"
Sports,Basketball,NCAA,Division I,Big West,"California State University, Fullerton (Cal State Fullerton)"
Sports,Basketball,NCAA,Division I,Big West,"California State University, Northridge (Cal State Northridge or CSUN)"
Sports,Basketball,NCAA,Division I,Big West,University of Hawaiʻi at Mānoa (Hawaii)
Sports,Basketball,NCAA,Division I,Big West,"California State University, Long Beach (Long Beach State)"
Sports,Basketball,NCAA,Division I,Big West,"University of California, Davis (UC Davis)"
Sports,Basketball,NCAA,Division I,Big West,"University of California, Irvine (UC Irvine)"
Sports,Basketball,NCAA,Division I,Big West,"University of California, Riverside (UC Riverside)"
Sports,Basketball,NCAA,Division I,Big West,"University of California, San Diego (UC San Diego, UCSD)"
Sports,Basketball,NCAA,Division I,Big West,"University of California, Santa Barbara (UC Santa Barbara, UCSB)"
Sports,Basketball,NCAA,Division I,CAA,Campbell University
Sports,Basketball,NCAA,Division I,CAA,College of Charleston (Charleston)
Sports,Basketball,NCAA,Division I,CAA,University of Delaware
Sports,Basketball,NCAA,Division I,CAA,Drexel University
Sports,Basketball,NCAA,Division I,CAA,Elon University
Sports,Basketball,NCAA,Division I,CAA,Hampton University
Sports,Basketball,NCAA,Division I,CAA,Hofstra University
Sports,Basketball,NCAA,Division I,CAA,Monmouth University
Sports,Basketball,NCAA,Division I,CAA,North Carolina Agricultural and Technical State University (North Carolina A&T)
Sports,Basketball,NCAA,Division I,CAA,Northeastern University
Sports,Basketball,NCAA,Division I,CAA,Stony Brook University
Sports,Basketball,NCAA,Division I,CAA,Towson University
Sports,Basketball,NCAA,Division I,CAA,University of North Carolina at Wilmington (UNCW or UNC Wilmington)
Sports,Basketball,NCAA,Division I,CAA,College of William & Mary
Sports,Basketball,NCAA,Division I,Conference USA,Florida International University (FIU)
Sports,Basketball,NCAA,Division I,Conference USA,Jacksonville State University
Sports,Basketball,NCAA,Division I,Conference USA,Kennesaw State University
Sports,Basketball,NCAA,Division I,Conference USA,Liberty University
Sports,Basketball,NCAA,Division I,Conference USA,Louisiana Tech University
Sports,Basketball,NCAA,Division I,Conference USA,"Middle Tennessee State University (Middle Tennessee, MTSU)"
Sports,Basketball,NCAA,Division I,Conference USA,New Mexico State University
Sports,Basketball,NCAA,Division I,Conference USA,Sam Houston State University (Sam Houston)
Sports,Basketball,NCAA,Division I,Conference USA,University of Texas at El Paso (UTEP)
Sports,Basketball,NCAA,Division I,Conference USA,Western Kentucky University (WKU)
Sports,Basketball,NCAA,Division I,Horizon League,Cleveland State University
Sports,Basketball,NCAA,Division I,Horizon League,University of Detroit Mercy
Sports,Basketball,NCAA,Division I,Horizon League,Indiana University Indianapolis (IU Indy)
Sports,Basketball,NCAA,Division I,Horizon League,University of Wisconsin-Milwaukee (Milwaukee)
Sports,Basketball,NCAA,Division I,Horizon League,Northern Kentucky University (NKU)
Sports,Basketball,NCAA,Division I,Horizon League,Oakland University
