Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Austin College
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Centenary College of Louisiana
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Colorado College
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Concordia University Texas
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,University of Dallas
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,University of the Ozarks
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,University of St. Thomas (Texas)
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Texas Lutheran University
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,McMurry University
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Schreiner University
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Southwestern University
Sports,Basketball,NCAA,Division III,Southern Collegiate Athletic Conference,Trinity University
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Blackburn College
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Eureka College
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Fontbonne University
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Greenville University
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Lyon College
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Mississippi University for Women
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Principia College
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Spalding University
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Webster University
Sports,Basketball,NCAA,Division III,St. Louis Intercollegiate Athletic Conference,Westminster College
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,Buffalo State University
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Canton
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Cortland
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Fredonia
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Morrisville
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Oneonta
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Oswego
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Plattsburgh
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at Potsdam
Sports,Basketball,NCAA,Division III,State University of New York Athletic Conference,State University of New York at New Paltz
Sports,Basketball,NCAA,Division III,United East Conference,Bryn Athyn College
Sports,Basketball,NCAA,Division III,United East Conference,Cairn University
Sports,Basketball,NCAA,Division III,United East Conference,Cedar Crest College
Sports,Basketball,NCAA,Division III,United East Conference,Gallaudet University
Sports,Basketball,NCAA,Division III,United East Conference,Keystone College
Sports,Basketball,NCAA,Division III,United East Conference,Lancaster Bible College
Sports,Basketball,NCAA,Division III,United East Conference,Notre Dame of Maryland University
Sports,Basketball,NCAA,Division III,United East Conference,Pennsylvania College of Technology
Sports,Basketball,NCAA,Division III,United East Conference,"Pennsylvania State University, Abington"
Sports,Basketball,NCAA,Division III,United East Conference,"Pennsylvania State University, Berks College"
Sports,Basketball,NCAA,Division III,United East Conference,"Pennsylvania State University, Brandywine"
Sports,Basketball,NCAA,Division III,United East Conference,"Pennsylvania State University, Harrisburg"
Sports,Basketball,NCAA,Division III,United East Conference,Rosemont College
Sports,Basketball,NCAA,Division III,United East Conference,Saint Elizabeth University
Sports,Basketball,NCAA,Division III,United East Conference,St. Mary's College of Maryland
Sports,Basketball,NCAA,Division III,United East Conference,University of Valley Forge
Sports,Basketball,NCAA,Division III,United East Conference,Wilson College
Sports,Basketball,NCAA,Division III,University Athletic Association,Brandeis University
Sports,Basketball,NCAA,Division III,University Athletic Association,Carnegie Mellon University
Sports,Basketball,NCAA,Division III,University Athletic Association,Case Western Reserve University
Sports,Basketball,NCAA,Division III,University Athletic Association,University of Chicago
Sports,Basketball,NCAA,Division III,University Athletic Association,Emory University
Sports,Basketball,NCAA,Division III,University Athletic Association,New York University
Sports,Basketball,NCAA,Division III,University Athletic Association,University of Rochester
Sports,Basketball,NCAA,Division III,University Athletic Association,Washington University in St. Louis
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,Bethany Lutheran College
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,Crown College
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,Martin Luther College
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,University of Minnesota Morris
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,North Central University
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,Northland College[d]
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,University of Northwestern - St. Paul
Sports,Basketball,NCAA,Division III,Upper Midwest Athletic Conference,University of Wisconsin–Superior
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Brevard College
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Greensboro College
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Mary Baldwin University
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Meredith College
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Methodist University
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,North Carolina Wesleyan University
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Pfeiffer University
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Salem College
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,Southern Virginia University
Sports,Basketball,NCAA,Division III,USA South Athletic Conference,William Peace University
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Eau Claire
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–La Crosse
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Oshkosh
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Platteville
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–River Falls
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Stevens Point
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Stout
Sports,Basketball,NCAA,Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Whitewater
