Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Conference of New England,Wentworth Institute of Technology
Sports,Basketball,NCAA,Division III,Conference of New England,Western New England University
Sports,Basketball,NCAA,Division III,Empire 8,Alfred University
Sports,Basketball,NCAA,Division III,Empire 8,Elmira College
Sports,Basketball,NCAA,Division III,Empire 8,Hartwick College
Sports,Basketball,NCAA,Division III,Empire 8,Houghton University
Sports,Basketball,NCAA,Division III,Empire 8,Keuka College
Sports,Basketball,NCAA,Division III,Empire 8,Nazareth University
Sports,Basketball,NCAA,Division III,Empire 8,State University of New York at Brockport
Sports,Basketball,NCAA,Division III,Empire 8,State University of New York at Geneseo
Sports,Basketball,NCAA,Division III,Empire 8,State University of New York Polytechnic Institute
Sports,Basketball,NCAA,Division III,Empire 8,Russell Sage College
Sports,Basketball,NCAA,Division III,Empire 8,St. John Fisher University
Sports,Basketball,NCAA,Division III,Empire 8,Utica University
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Albertus Magnus College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Colby–Sawyer College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Dean College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Elms College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Emmanuel College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Lasell University
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Mitchell College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,New England College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Norwich University
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Regis College
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Rivier University
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,University of Saint Joseph
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Saint Joseph's College of Maine
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Simmons University
Sports,Basketball,NCAA,Division III,Great Northeast Athletic Conference,Anna Maria College
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Anderson University
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Berea College
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Bluffton University
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Earlham College
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Franklin College
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Hanover College
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Manchester University
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Mount St. Joseph University
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Rose-Hulman Institute of Technology
Sports,Basketball,NCAA,Division III,Heartland Collegiate Athletic Conference,Transylvania University
Sports,Basketball,NCAA,Division III,Independent,Maranatha Baptist University
Sports,Basketball,NCAA,Division III,Independent,Trinity Washington University[A 1]
Sports,Basketball,NCAA,Division III,Landmark Conference,Catholic University of America
Sports,Basketball,NCAA,Division III,Landmark Conference,Drew University
Sports,Basketball,NCAA,Division III,Landmark Conference,Elizabethtown College
Sports,Basketball,NCAA,Division III,Landmark Conference,Goucher College
Sports,Basketball,NCAA,Division III,Landmark Conference,Juniata College
Sports,Basketball,NCAA,Division III,Landmark Conference,Lycoming College
Sports,Basketball,NCAA,Division III,Landmark Conference,Moravian University
Sports,Basketball,NCAA,Division III,Landmark Conference,University of Scranton
Sports,Basketball,NCAA,Division III,Landmark Conference,Susquehanna University
Sports,Basketball,NCAA,Division III,Landmark Conference,Wilkes University
Sports,Basketball,NCAA,Division III,Liberty League,Bard College
Sports,Basketball,NCAA,Division III,Liberty League,Clarkson University[A 4][A 5]
Sports,Basketball,NCAA,Division III,Liberty League,Hobart College[A 9][A 10][A 11]
Sports,Basketball,NCAA,Division III,Liberty League,Ithaca College
Sports,Basketball,NCAA,Division III,Liberty League,Rensselaer Polytechnic Institute [A 4][A 5]
Sports,Basketball,NCAA,Division III,Liberty League,Rochester Institute of Technology[A 17][A 18]
Sports,Basketball,NCAA,Division III,Liberty League,St. Lawrence University[A 4][A 5]
Sports,Basketball,NCAA,Division III,Liberty League,Skidmore College
Sports,Basketball,NCAA,Division III,Liberty League,Union College[A 17][A 18]
Sports,Basketball,NCAA,Division III,Liberty League,Vassar College
Sports,Basketball,NCAA,Division III,Liberty League,William Smith College[A 10][A 1]
Sports,Basketball,NCAA,Division III,Little East Conference,Eastern Connecticut State University
Sports,Basketball,NCAA,Division III,Little East Conference,Keene State College
Sports,Basketball,NCAA,Division III,Little East Conference,University of Massachusetts Boston
Sports,Basketball,NCAA,Division III,Little East Conference,University of Massachusetts Dartmouth
Sports,Basketball,NCAA,Division III,Little East Conference,Plymouth State University
Sports,Basketball,NCAA,Division III,Little East Conference,Rhode Island College
Sports,Basketball,NCAA,Division III,Little East Conference,University of Southern Maine
Sports,Basketball,NCAA,Division III,Little East Conference,Vermont State University–Castleton
Sports,Basketball,NCAA,Division III,Little East Conference,Western Connecticut State University
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Albright College
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Alvernia University
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Eastern University
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Hood College
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Messiah University
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Stevenson University
Sports,Basketball,NCAA,Division III,MAC Commonwealth,Widener University
Sports,Basketball,NCAA,Division III,MAC Commonwealth,York College of Pennsylvania
Sports,Basketball,NCAA,Division III,MAC Freedom,Arcadia University
Sports,Basketball,NCAA,Division III,MAC Freedom,Delaware Valley University
Sports,Basketball,NCAA,Division III,MAC Freedom,DeSales University
Sports,Basketball,NCAA,Division III,MAC Freedom,"Fairleigh Dickinson University, Florham"
Sports,Basketball,NCAA,Division III,MAC Freedom,King's College
Sports,Basketball,NCAA,Division III,MAC Freedom,Lebanon Valley College
Sports,Basketball,NCAA,Division III,MAC Freedom,Misericordia University
Sports,Basketball,NCAA,Division III,MAC Freedom,Stevens Institute of Technology
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Bridgewater State University
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Fitchburg State University
