Division,Conference,School
Division III,Liberty League,Hobart College[A 9][A 10][A 11]
Division III,Liberty League,Ithaca College
Division III,Liberty League,Rensselaer Polytechnic Institute [A 4][A 5]
Division III,Liberty League,Rochester Institute of Technology[A 17][A 18]
Division III,Liberty League,St. Lawrence University[A 4][A 5]
Division III,Liberty League,Skidmore College
Division III,Liberty League,Union College[A 17][A 18]
Division III,Liberty League,Vassar College
Division III,Liberty League,William Smith College[A 10][A 1]
Division III,Little East Conference,Eastern Connecticut State University
Division III,Little East Conference,Keene State College
Division III,Little East Conference,University of Massachusetts Boston
Division III,Little East Conference,University of Massachusetts Dartmouth
Division III,Little East Conference,Plymouth State University
Division III,Little East Conference,Rhode Island College
Division III,Little East Conference,University of Southern Maine
Division III,Little East Conference,Vermont State University–Castleton
Division III,Little East Conference,Western Connecticut State University
Division III,MAC Commonwealth,Albright College
Division III,MAC Commonwealth,Alvernia University
Division III,MAC Commonwealth,Eastern University
Division III,MAC Commonwealth,Hood College
Division III,MAC Commonwealth,Messiah University
Division III,MAC Commonwealth,Stevenson University
Division III,MAC Commonwealth,Widener University
Division III,MAC Commonwealth,York College of Pennsylvania
Division III,MAC Freedom,Arcadia University
Division III,MAC Freedom,Delaware Valley University
Division III,MAC Freedom,DeSales University
Division III,MAC Freedom,"Fairleigh Dickinson University, Florham"
Division III,MAC Freedom,King's College
Division III,MAC Freedom,Lebanon Valley College
Division III,MAC Freedom,Misericordia University
Division III,MAC Freedom,Stevens Institute of Technology
Division III,Massachusetts State Collegiate Athletic Conference,Bridgewater State University
Division III,Massachusetts State Collegiate Athletic Conference,Fitchburg State University
Division III,Massachusetts State Collegiate Athletic Conference,Framingham State University
Division III,Massachusetts State Collegiate Athletic Conference,Massachusetts College of Liberal Arts
Division III,Massachusetts State Collegiate Athletic Conference,Massachusetts Maritime Academy[A 14]
Division III,Massachusetts State Collegiate Athletic Conference,Salem State University
Division III,Massachusetts State Collegiate Athletic Conference,Westfield State University
Division III,Massachusetts State Collegiate Athletic Conference,Worcester State University
Division III,Michigan Intercollegiate Athletic Association,Adrian College
Division III,Michigan Intercollegiate Athletic Association,Albion College
Division III,Michigan Intercollegiate Athletic Association,Alma College
Division III,Michigan Intercollegiate Athletic Association,Calvin University
Division III,Michigan Intercollegiate Athletic Association,Hope College
Division III,Michigan Intercollegiate Athletic Association,Kalamazoo College
Division III,Michigan Intercollegiate Athletic Association,University of Olivet
Division III,Michigan Intercollegiate Athletic Association,Saint Mary's College[A 1]
Division III,Michigan Intercollegiate Athletic Association,Trine University
Division III,Midwest Conference,Beloit College
Division III,Midwest Conference,Cornell College
Division III,Midwest Conference,Grinnell College
Division III,Midwest Conference,Illinois College
Division III,Midwest Conference,Knox College
Division III,Midwest Conference,Lake Forest College
Division III,Midwest Conference,Lawrence University
Division III,Midwest Conference,Monmouth College
Division III,Midwest Conference,Ripon College
Division III,Minnesota Intercollegiate Athletic Conference,Augsburg University
Division III,Minnesota Intercollegiate Athletic Conference,Bethel University
Division III,Minnesota Intercollegiate Athletic Conference,Carleton College
Division III,Minnesota Intercollegiate Athletic Conference,Concordia College
Division III,Minnesota Intercollegiate Athletic Conference,Gustavus Adolphus College
Division III,Minnesota Intercollegiate Athletic Conference,Hamline University
Division III,Minnesota Intercollegiate Athletic Conference,Macalester College
Division III,Minnesota Intercollegiate Athletic Conference,College of Saint Benedict[A 19][A 1]
Division III,Minnesota Intercollegiate Athletic Conference,St. Catherine University[A 1]
Division III,Minnesota Intercollegiate Athletic Conference,Saint John's University[A 19][A 11]
Division III,Minnesota Intercollegiate Athletic Conference,Saint Mary's University of Minnesota
Division III,Minnesota Intercollegiate Athletic Conference,St. Olaf College
Division III,Minnesota Intercollegiate Athletic Conference,The College of St. Scholastica
Division III,New England Small College Athletic Conference,Amherst College
Division III,New England Small College Athletic Conference,Bates College
Division III,New England Small College Athletic Conference,Bowdoin College
Division III,New England Small College Athletic Conference,Colby College
Division III,New England Small College Athletic Conference,Connecticut College
Division III,New England Small College Athletic Conference,Hamilton College
Division III,New England Small College Athletic Conference,Middlebury College
Division III,New England Small College Athletic Conference,Trinity College
Division III,New England Small College Athletic Conference,Tufts University
Division III,New England Small College Athletic Conference,Wesleyan University
Division III,New England Small College Athletic Conference,Williams College
Division III,New England Women's and Men's Athletic Conference,Babson College
Division III,New England Women's and Men's Athletic Conference,Clark University
Division III,New England Women's and Men's Athletic Conference,Emerson College
Division III,New England Women's and Men's Athletic Conference,Massachusetts Institute of Technology [A 13]
Division III,New England Women's and Men's Athletic Conference,Mount Holyoke College[A 1]
Division III,New England Women's and Men's Athletic Conference,Salve Regina University
Division III,New England Women's and Men's Athletic Conference,Smith College[A 1]
Division III,New England Women's and Men's Athletic Conference,Springfield College
Division III,New England Women's and Men's Athletic Conference,United States Coast Guard Academy
Division III,New England Women's and Men's Athletic Conference,Wellesley College[A 1]
Division III,New England Women's and Men's Athletic Conference,Wheaton College
Division III,New England Women's and Men's Athletic Conference,Worcester Polytechnic Institute
Division III,New Jersey Athletic Conference,Kean University
Division III,New Jersey Athletic Conference,Montclair State University
Division III,New Jersey Athletic Conference,The College of New Jersey
Division III,New Jersey Athletic Conference,New Jersey City University
Division III,New Jersey Athletic Conference,Ramapo College
Division III,New Jersey Athletic Conference,Rowan University
Division III,New Jersey Athletic Conference,Rutgers University–Camden
Division III,New Jersey Athletic Conference,Rutgers University–Newark
Division III,New Jersey Athletic Conference,Stockton University
Division III,New Jersey Athletic Conference,William Paterson University
Division III,North Atlantic Conference,Husson University
Division III,North Atlantic Conference,Lesley University
Division III,North Atlantic Conference,University of Maine at Farmington
Division III,North Atlantic Conference,Maine Maritime Academy
Division III,North Atlantic Conference,University of Maine at Presque Isle
Division III,North Atlantic Conference,State University of New York at Cobleskill
Division III,North Atlantic Conference,State University of New York at Delhi
Division III,North Atlantic Conference,Thomas College
Division III,North Atlantic Conference,Vermont State University–Johnson
Division III,North Atlantic Conference,Vermont State University–Lyndon
Division III,North Coast Athletic Conference,Denison University
Division III,North Coast Athletic Conference,DePauw University
Division III,North Coast Athletic Conference,Kenyon College
Division III,North Coast Athletic Conference,Oberlin College
